Neighborhood,Type I (Lâmina),Type II (Bolsão),Type III (Alagamento),Total,Density (per km²)
Abolição,0,3,0,3,4.87
Acari,0,4,8,12,7.47
Alto da boa vista,0,2,1,3,0.1
Anchieta,0,17,2,19,4.37
Andaraí,0,6,2,8,3.54
Anil,1,6,1,8,2.29
Argentino,0,0,0,0,0.00
Bancários,0,17,5,22,22.49
Bangu,1,34,9,44,1.22
Barra Olímpica,0,0,0,0,0.00
Barra da tijuca,47,248,10,305,6.59
Barra de Guaratiba,0,0,0,0,0.00
Barra guaratiba,0,2,0,2,0.00
Barros filho,0,1,0,1,0.58
Benfica,0,10,1,11,6.33
Bento ribeiro,0,3,3,6,1.98
Bonsucesso,0,27,3,30,13.64
Botafogo,3,95,6,104,21.67
Brás de pina,0,2,1,3,1.01
Cachambi,0,2,0,2,0.89
Cacuia,1,12,4,17,8.22
Caju,0,46,2,48,8.98
Camorim,0,0,0,0,0.00
Campinho,0,3,0,3,3.05
Campo dos Afonsos,0,0,0,0,0.00
Campo grande,4,43,14,61,0.58
Cascadura,2,18,0,20,7.04
Catete,1,59,1,61,89.57
Catumbi,0,1,0,1,1.85
Cavalcante,1,3,0,4,0.00
Cavalcanti,0,1,0,1,0.52
Centro,6,136,6,148,27.28
Cidade Universitária,0,0,0,0,0.00
Cidade de deus,0,2,0,2,1.57
Cidade nova,3,53,0,56,59.9
Cidade universitária da universidade federal do rio de janeiro,0,2,1,3,0.00
Cocotá,0,6,0,6,12.24
Coelho neto,0,7,2,9,3.58
Colégio,0,0,0,0,0.00
Complexo do Alemão,0,0,0,0,0.00
Copacabana,3,68,1,72,17.56
Cordovil,0,4,0,4,1.09
Cosme velho,0,1,0,1,1.12
Cosmos,0,1,2,3,0.27
Costa barros,0,1,1,2,1.1
Curicica,0,10,6,16,4.79
Del castilho,0,1,0,1,0.69
Deodoro,0,2,4,6,1.29
Encantado,0,0,0,0,0.00
Engenheiro Leal,0,0,0,0,0.00
Engenho da Rainha,0,0,0,0,0.00
Engenho de dentro,1,2,0,3,0.77
Engenho novo,1,22,3,26,9.83
Estácio,0,5,0,5,5.1
Flamengo,1,12,3,16,9.72
Freguesia (Ilha),0,0,0,0,0.00
Freguesia (ilha do governador),0,21,4,25,0.00
Freguesia (jacarepaguá),0,1,0,1,0.1
Freguesia de jacarepaguá,0,16,0,16,0.00
Galeão,0,36,1,37,1.95
Gamboa,0,1,0,1,0.9
Gardênia azul,1,23,0,24,19.41
Gericinó,0,0,0,0,0.00
Gloria,0,1,0,1,0.00
Glória,2,54,4,60,52.63
Grajau,0,10,1,11,0.00
Grajaú,0,0,0,0,0.00
Grumari,0,0,0,0,0.00
Guadalupe,1,9,1,11,2.88
Guaratiba,0,24,17,41,0.31
Gávea,5,32,1,38,14.73
Higienópolis,0,4,1,5,4.32
Honório gurgel,0,1,1,2,1.45
Humaitá,2,16,0,18,17.07
Ilha de Guaratiba,0,0,0,0,0.00
Ilha do gov.,0,1,0,1,0.00
Ilha do governador,0,6,0,6,0.00
Ilha fiscal,0,1,0,1,0.00
Imperial de São Cristóvão,0,0,0,0,0.00
Inhauma,0,2,1,3,0.00
Inhaúma,0,0,0,0,0.00
Inhoaíba,2,29,5,36,4.34
Ipanema,3,75,0,78,25.28
Irajá,1,45,9,55,7.35
Itanhangá,5,85,7,97,7.35
Jabour,0,0,0,0,0.00
Jacarepaguá,4,43,7,54,0.79
Jacarezinho,0,0,0,0,0.00
Jacaré,0,5,4,9,10.68
Jardim América,0,0,0,0,0.00
Jardim america,0,2,8,10,0.00
Jardim botânico,0,33,0,33,12.27
Jardim carioca,0,15,5,20,12.34
Jardim guanabara,1,18,5,24,7.49
Jardim guanabara - teste,0,1,0,1,0.00
Jardim sulacap,0,30,1,31,3.94
Joá,0,8,1,9,5.33
Lagoa,15,146,5,166,32.49
Lapa,0,1,0,1,3.35
Laranjeiras,1,9,1,11,4.41
Leblon,0,17,0,17,7.9
Leme,0,1,0,1,1.02
Lins de Vasconcelos,0,0,0,0,0.00
Madureira,4,38,1,43,11.35
Magalhães bastos,0,5,0,5,2.53
Mal. hermes,0,5,2,7,0.00
Mangueira,0,0,0,0,0.00
Manguinhos,3,84,3,90,34.37
Maracanã,1,42,4,47,28.19
Marechal Hermes,0,0,0,0,0.00
Maria da Graça,0,0,0,0,0.00
Maré,0,8,0,8,1.87
Meier,0,0,2,2,0.00
Moneró,0,3,0,3,5.76
Méier,1,17,2,20,8.09
Olaria,2,13,0,15,4.07
Osvaldo Cruz,0,0,0,0,0.00
Oswaldo cruz,0,2,0,2,0.00
Paciencia,0,1,0,1,0.00
Paciência,0,8,2,10,0.36
Padre miguel,0,11,1,12,2.47
Paquetá,0,0,1,1,0.59
Parada de lucas,0,24,0,24,11.62
Parque anchieta,0,2,0,2,0.51
Parque colúmbia,0,0,4,4,2.64
Parque união,0,1,0,1,0.00
Pavuna,1,14,5,20,2.41
Pechincha,2,7,1,10,3.53
Pedra de Guaratiba,0,0,0,0,0.00
Penha,0,16,2,18,3.1
Penha circular,0,4,0,4,0.87
Piedade,0,9,0,9,2.32
Pilares,0,0,0,0,0.00
Pitangueiras,0,2,0,2,3.31
Portuguesa,0,7,1,8,6.74
Praca da bandeira,0,9,2,11,0.00
Praia da bandeira,0,7,3,10,26.36
Praça da bandeira,0,1,0,1,1.39
Praça seca,0,28,1,29,4.46
Quintino Bocaiúva,0,0,0,0,0.00
Quintino bocaiuva,0,7,1,8,0.00
Ramos,0,13,3,16,5.73
Realengo,0,25,11,36,1.38
Recreio dos bandeirantes,1,27,5,33,1.08
Riachuelo,0,2,0,2,2.15
Ribeira,0,2,0,2,2.32
Ricardo de albuquerque,0,7,1,8,3.78
Rio comprido,0,1,0,1,0.3
Rocha,0,2,0,2,1.52
Rocha miranda,0,3,2,5,1.73
Rocinha,0,18,1,19,13.22
"Rua tonelero, alt. r. siqueira campos - ipanema",0,1,0,1,0.00
Sampaio,0,6,0,6,6.78
Santa cruz,1,33,9,43,0.34
Santa teresa,1,2,1,4,0.78
Santo cristo,1,16,1,18,10.68
Santíssimo,0,5,0,5,0.6
Saúde,0,0,1,1,2.75
Sem bairro,37,1159,95,1291,0.00
Sen. vasconcelos,0,4,0,4,0.00
Senador camará,0,4,2,6,0.35
Senador vasconcelos,0,1,0,1,0.16
Sepetiba,0,2,0,2,0.17
São conrado,3,43,3,49,7.55
São cristóvão,3,73,11,87,0.00
São francisco xavier,0,5,0,5,7.71
Tanque,0,2,1,3,0.54
Taquara,0,25,13,38,2.88
Tauá,0,26,4,30,17.94
Teste,0,1,0,1,0.00
Tijuca,1,101,7,109,10.83
Tijuca - teste,0,0,1,1,0.00
Todos os santos,0,3,1,4,3.95
Tomás Coelho,0,0,0,0,0.00
Tubiacanga,0,1,0,1,0.00
Turiaçú,0,0,0,0,0.00
Urca,0,3,2,5,2.16
Vargem grande,0,2,10,12,0.3
Vargem pequena,0,1,4,5,0.35
Vasco da Gama,0,0,0,0,0.00
Vaz Lobo,0,0,0,0,0.00
Vicente de carvalho,0,2,0,2,1.09
Vidigal,0,0,0,0,0.00
Vigário geral,0,11,2,13,3.84
Vila Kennedy,0,0,0,0,0.00
Vila cosmos,0,1,0,1,0.00
Vila da penha,0,1,0,1,0.65
Vila isabel,1,50,4,55,17.1
Vila kosmos,0,1,0,1,0.66
Vila militar,0,4,0,4,0.37
Vila valqueire,0,18,2,20,4.73
Vista Alegre,0,0,0,0,0.00
Zumbi,0,17,1,18,111.72
Água Santa,0,0,0,0,0.00
TOTAL,182,3921,428,4531,-
